"","X","POSname","NEGname","CommonName","Trtmt","Day","Cmpd","Class","ContainsN","PeakArea"
"141",141,"57S_POS.mzML","57S_NEG.mzML","Root_N_5.5day","N",5.5,"uridine","Nt","Y",10026996.83
"142",142,"67S_POS.mzML","67S_NEG.mzML","Root_N_7.5day","N",7.5,"uridine","Nt","Y",9993306.26
"143",143,"69S_POS.mzML","69S_NEG.mzML","Root_N_7.5day","N",7.5,"uridine","Nt","Y",9671449.16
"144",144,"81S_POSre.mzML","81S_NEGre.mzML","Root_N_7.5day","N",7.5,"uridine","Nt","Y",3850337.36
"145",145,"29S_POS.mzML","29S_NEG.mzML","Bulk_soil","X",0,"nicotinic.acid","OA","Y",164982.83
"146",146,"49S_POS.mzML","49S_NEG.mzML","Bulk_soil","X",0,"nicotinic.acid","OA","Y",313884.75
"147",147,"9S_POS.mzML","9S_NEG.mzML","Bulk_soil","X",0,"nicotinic.acid","OA","Y",298397.48
"148",148,"1S_POS.mzML","1S_NEG.mzML","Root_1day","X",1,"nicotinic.acid","OA","Y",322115.02
"149",149,"21S_POS.mzML","21S_NEG.mzML","Root_1day","X",1,"nicotinic.acid","OA","Y",521737.53
"150",150,"41S_POS.mzML","41S_NEG.mzML","Root_1day","X",1,"nicotinic.acid","OA","Y",1001516.98
"151",151,"23S_POS.mzML","23S_NEG.mzML","Root_2day","X",2,"nicotinic.acid","OA","Y",274100.4
"152",152,"3S_POS.mzML","3S_NEG.mzML","Root_2day","X",2,"nicotinic.acid","OA","Y",850112.59
"153",153,"43S_POS.mzML","43S_NEG.mzML","Root_2day","X",2,"nicotinic.acid","OA","Y",366712.12
"154",154,"25S_POS.mzML","25S_NEG.mzML","Root_3.5day","X",3.5,"nicotinic.acid","OA","Y",403069.06
"155",155,"45S_POS.mzML","45S_NEG.mzML","Root_3.5day","X",3.5,"nicotinic.acid","OA","Y",511267.8
"156",156,"5S_POS.mzML","5S_NEG.mzML","Root_3.5day","X",3.5,"nicotinic.acid","OA","Y",391162.54
"157",157,"27S_POS.mzML","27S_NEG.mzML","Root_5.5day","X",5.5,"nicotinic.acid","OA","Y",580523.57
"158",158,"47S_POS.mzML","47S_NEG.mzML","Root_5.5day","X",5.5,"nicotinic.acid","OA","Y",607925.23
"159",159,"7S_POS.mzML","7S_NEG.mzML","Root_5.5day","X",5.5,"nicotinic.acid","OA","Y",682318.21
"160",160,"61S_POS.mzML","61S_NEG.mzML","Root_7.5day","X",7.5,"nicotinic.acid","OA","Y",708984.31
"161",161,"63S_POS.mzML","63S_NEG.mzML","Root_7.5day","X",7.5,"nicotinic.acid","OA","Y",250033.13
"162",162,"65S_POS.mzML","65S_NEG.mzML","Root_7.5day","X",7.5,"nicotinic.acid","OA","Y",1411880.03
"163",163,"17S_POS.mzML","17S_NEG.mzML","Bulk_N_soil","N",0,"nicotinic.acid","OA","Y",265479.69
"164",164,"39S_POS.mzML","39S_NEG.mzML","Bulk_N_soil","N",0,"nicotinic.acid","OA","Y",211087.85
"165",165,"59S_POS.mzML","59S_NEG.mzML","Bulk_N_soil","N",0,"nicotinic.acid","OA","Y",244701.91
"166",166,"11S_POS.mzML","11S_NEG.mzML","Root_N_1day","N",1,"nicotinic.acid","OA","Y",267338.27
"167",167,"31S_POS.mzML","31S_NEG.mzML","Root_N_1day","N",1,"nicotinic.acid","OA","Y",204929.56
"168",168,"51S_POS.mzML","51S_NEG.mzML","Root_N_1day","N",1,"nicotinic.acid","OA","Y",304398.73
"169",169,"13S_POS.mzML","13S_NEG.mzML","Root_N_2day","N",2,"nicotinic.acid","OA","Y",281569.68
"170",170,"33S_POS.mzML","33S_NEG.mzML","Root_N_2day","N",2,"nicotinic.acid","OA","Y",196056.92
"171",171,"53S_POS.mzML","53S_NEG.mzML","Root_N_2day","N",2,"nicotinic.acid","OA","Y",575516.69
"172",172,"19S_POS.mzML","19S_NEG.mzML","Root_N_3.5day","N",3.5,"nicotinic.acid","OA","Y",363922.16
"173",173,"35S_POS.mzML","35S_NEG.mzML","Root_N_3.5day","N",3.5,"nicotinic.acid","OA","Y",322613.1
"174",174,"55S_POS.mzML","55S_NEG.mzML","Root_N_3.5day","N",3.5,"nicotinic.acid","OA","Y",520820.63
"175",175,"15S_POS.mzML","15S_NEG.mzML","Root_N_5.5day","N",5.5,"nicotinic.acid","OA","Y",577825.57
"176",176,"37S_POS.mzML","37S_NEG.mzML","Root_N_5.5day","N",5.5,"nicotinic.acid","OA","Y",377426.75
"177",177,"57S_POS.mzML","57S_NEG.mzML","Root_N_5.5day","N",5.5,"nicotinic.acid","OA","Y",330671.39
"178",178,"67S_POS.mzML","67S_NEG.mzML","Root_N_7.5day","N",7.5,"nicotinic.acid","OA","Y",410887.51
"179",179,"69S_POS.mzML","69S_NEG.mzML","Root_N_7.5day","N",7.5,"nicotinic.acid","OA","Y",475103.55
